ID,lesson_id,contenido_zh,Pinyin,traduccion_es,POS,grammar_ref,titulo_es_leccion
L1-0095,8.0,多少,duōshao,cuánto / cuántos,Pron,G1.2 (Verbos Modales) | G1.46 (Preguntas con partículas de cantidad/lugar) | G1.8 (Clasificadores Nominales),Quiero beber té
L1-0096,0.0,饿,è,hambriento,Adj/V,,Vocabulario General
L1-0097,9.0,儿子,érzi,hijo,N,G1.4 (Pronombres Interrogativos) | G1.1 (Sustantivos de Posición),¿Dónde trabaja tu hijo?
L1-0098,1.1,二,èr,dos,Num,,Hola
L1-0099,12.0,饭,fàn,comida,N,G1.4 (Pronombres Interrogativos),¿Qué tiempo hará mañana?
L1-0100,0.0,饭店,fàndiàn,restaurante,N,,Vocabulario General
L1-0101,0.0,房间,fángjiān,habitación,N,,Vocabulario General
L1-0102,0.0,房子,fángzi,casa,N,,Vocabulario General
L1-0103,0.0,放,fàng,poner,V,,Vocabulario General
L1-0104,0.0,放假,fàngjià,tener vacaciones,,,Vocabulario General
L1-0105,0.0,放学,fàngxué,salir de la escuela,,,Vocabulario General
L1-0106,15.0,飞,fēi,volar,V,G1.36 (Estructura de Énfasis 是...的),Vine en avión
L1-0107,15.0,飞机,fēijī,avión,N,G1.36 (Estructura de Énfasis 是...的),Vine en avión
L1-0108,0.0,非常,fēicháng,muy,Adv,,Vocabulario General
L1-0109,0.0,分,fēn,minuto,N/M,,Vocabulario General
L1-0110,0.0,风,fēng,viento,N,,Vocabulario General
L1-0111,0.0,干,gān,seco,Adj,,Vocabulario General
L1-0112,0.0,干净,gānjìng,limpio,Adj,,Vocabulario General
L1-0113,0.0,干,gàn,hacer,V,,Vocabulario General
L1-0114,0.0,干什么,gàn shénme,hacer qué,,,Vocabulario General
L1-0115,10.0,高,gāo,alto,Adj,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0116,15.0,高兴,gāoxìng,contento,Adj,G1.36 (Estructura de Énfasis 是...的),Vine en avión
L1-0117,0.0,告诉,gàosu,decir,V,,Vocabulario General
L1-0118,0.0,哥哥,gēge,hermano mayor,N,,Vocabulario General
L1-0118,0.0,哥,gē,hermano mayor,N,,Vocabulario General
L1-0119,0.0,歌,gē,canción,N,,Vocabulario General
L1-0120,8.0,个,gè,clasificador para objetos generales,M,G1.2 (Verbos Modales) | G1.46 (Preguntas con partículas de cantidad/lugar) | G1.8 (Clasificadores Nominales),Quiero beber té
L1-0121,13.0,给,gěi,dar,V/Prep,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0122,0.0,跟,gēn,con,Prep/Conj/V,,Vocabulario General
L1-0123,9.0,工人,gōngrén,obrero,N,G1.4 (Pronombres Interrogativos) | G1.1 (Sustantivos de Posición),¿Dónde trabaja tu hijo?
L1-0124,9.0,工作,gōngzuò,trabajar,V/N,G1.4 (Pronombres Interrogativos) | G1.1 (Sustantivos de Posición),¿Dónde trabaja tu hijo?
L1-0125,0.0,关,guān,cerrar,V,,Vocabulario General
L1-0126,0.0,关上,guānshang,cerrar,,,Vocabulario General
L1-0127,0.0,贵,guì,caro,Adj,,Vocabulario General
L1-0128,1.1,国,guó,país,N,,Hola
L1-0129,0.0,国家,guójiā,país,N,,Vocabulario General
L1-0130,0.0,国外,guó wài,extranjero,,,Vocabulario General
L1-0131,0.0,过,guò,pasar,V,,Vocabulario General
L1-0132,14.0,还,hái,todavía,Adv,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0133,0.0,还是,háishi,o,Adv/Conj,,Vocabulario General
L1-0134,0.0,还有,hái yǒu,además,,,Vocabulario General
L1-0135,0.0,孩子,háizi,niño,N,,Vocabulario General
L1-0136,6.0,汉语,Hànyǔ,idioma chino,N,G1.2 (Verbos Modales),Sé hablar chino
L1-0137,0.0,汉字,Hànzì,carácter chino,N,,Vocabulario General
L1-0138,1.1,好,hǎo,bueno,Adj,,Hola
L1-0139,6.0,好吃,hǎochī,delicioso,Adj,G1.2 (Verbos Modales),Sé hablar chino
L1-0140,12.0,好看,hǎokàn,bonito,Adj,G1.4 (Pronombres Interrogativos),¿Qué tiempo hará mañana?
L1-0141,0.0,好听,hǎotīng,agradable al oído,Adj,,Vocabulario General
L1-0142,0.0,好玩儿,hǎowánr,divertido,Adj,,Vocabulario General
L1-0143,7.0,号,hào,número,N/M,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
L1-0144,8.0,喝,hē,beber,V,G1.2 (Verbos Modales) | G1.46 (Preguntas con partículas de cantidad/lugar) | G1.8 (Clasificadores Nominales),Quiero beber té
L1-0145,10.0,和,hé,y,Prep/Conj,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0146,6.0,很,hěn,muy,Adv,G1.2 (Verbos Modales),Sé hablar chino
L1-0147,14.0,后,hòu,detrás,N,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0148,0.0,后边,hòubian,parte de atrás,N,,Vocabulario General
L1-0149,0.0,后天,hòutiān,pasado mañana,N,,Vocabulario General
L1-0150,0.0,花,huā,flor,N,,Vocabulario General
L1-0151,0.0,话,huà,palabra,N,,Vocabulario General
L1-0152,0.0,坏,huài,malo,Adj,,Vocabulario General
L1-0153,14.0,还,huán,devolver,V,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0154,3.0,回,huí,regresar,V,G1.4 (Pronombres Interrogativos),¿Cómo te llamas?
L1-0155,0.0,回答,huídá,responder,V/N,,Vocabulario General
L1-0156,0.0,回到,huídào,volver a,V,,Vocabulario General
L1-0157,0.0,回家,huí jiā,ir a casa,,,Vocabulario General
L1-0158,14.0,回来,huílái,volver,,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0159,0.0,回去,huíqù,regresar,,,Vocabulario General
L1-0160,15.0,会,huì,saber,V,G1.36 (Estructura de Énfasis 是...的),Vine en avión
L1-0161,14.0,火车,huǒchē,tren,N,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0162,6.0,机场,jīchǎng,aeropuerto,N,G1.2 (Verbos Modales),Sé hablar chino
L1-0163,0.0,机票,jīpiào,billete de avión,N,,Vocabulario General
L1-0164,0.0,鸡蛋,jīdàn,huevo,N,,Vocabulario General
L1-0165,11.0,几,jǐ,cuántos,Num/Pron,G1.44 (Expresión de Tiempo: Hora),¿Qué hora es ahora?
L1-0166,0.0,记,jì,memorizar,V,,Vocabulario General
L1-0167,0.0,记得,jìde,recordar,V,,Vocabulario General
L1-0168,0.0,记住,jìzhù,recordar,,,Vocabulario General
L1-0169,5.0,家,jiā,hogar,N/M,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0170,0.0,家里,jiā li,en casa,,,Vocabulario General
L1-0171,0.0,家人,jiārén,familia,N,,Vocabulario General
L1-0172,9.0,间,jiān,habitación,M,G1.4 (Pronombres Interrogativos) | G1.1 (Sustantivos de Posición),¿Dónde trabaja tu hijo?
L1-0173,2.0,见,jiàn,ver,V,,Gracias
L1-0174,0.0,见面,jiànmiàn,reunirse,,,Vocabulario General
L1-0175,0.0,教,jiāo,enseñar,V,,Vocabulario General
L1-0176,5.0,叫,jiào,llamar,V,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0177,0.0,教学楼,jiàoxuélóu,edificio de enseñanza,N,,Vocabulario General
L1-0178,0.0,姐姐,jiějie,hermana mayor,N,,Vocabulario General
L1-0178,0.0,姐,jiě,hermana,N,,Vocabulario General
L1-0179,0.0,介绍,jièshào,presentar,V,,Vocabulario General
L1-0180,5.0,今年,jīnnián,este año,N,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0181,7.0,今天,jīntiān,hoy,N,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
L1-0182,0.0,进,jìn,entrar,V,,Vocabulario General
L1-0183,0.0,进来,jìnlái,entrar,,,Vocabulario General
L1-0184,0.0,进去,jìnqù,entrar,,,Vocabulario General
L1-0185,0.0,九,jiǔ,nueve,Num,,Vocabulario General
L1-0186,0.0,就,jiù,simplemente,Adv,,Vocabulario General
L1-0187,0.0,觉得,juéde,sentir,V,,Vocabulario General
L1-0188,14.0,开,kāi,abrir,V,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0189,14.0,开车,kāichē,conducir,,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0190,0.0,开会,kāihuì,tener una reunión,,,Vocabulario General
L1-0191,0.0,开玩笑,kāi wánxiào,bromear,,,Vocabulario General
L1-0192,13.0,看,kàn,mirar,V,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0193,0.0,看病,kànbìng,ir al médico,,,Vocabulario General
L1-0194,0.0,看到,kàndào,ver,,,Vocabulario General
L1-0195,14.0,看见,kànjiàn,ver,,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0196,0.0,考,kǎo,examinar,V,,Vocabulario General
L1-0197,0.0,考试,kǎoshì,examen,,,Vocabulario General
L1-0198,0.0,渴,kě,sediento,Adj,,Vocabulario General
L1-0199,9.0,课,kè,clase,N,G1.4 (Pronombres Interrogativos) | G1.1 (Sustantivos de Posición),¿Dónde trabaja tu hijo?
L1-0200,0.0,课本,kèběn,libro de texto,N,,Vocabulario General
L1-0201,0.0,课文,kèwén,texto de la lección,N,,Vocabulario General
L1-0202,2.0,口,kǒu,boca,M/N,,Gracias
L1-0203,8.0,块,kuài,yuan (unidad monetaria),N/M,G1.2 (Verbos Modales) | G1.46 (Preguntas con partículas de cantidad/lugar) | G1.8 (Clasificadores Nominales),Quiero beber té
L1-0204,0.0,快,kuài,rápido,Adj/Adv,,Vocabulario General
L1-0205,12.0,来,lái,venir,V,G1.4 (Pronombres Interrogativos),¿Qué tiempo hará mañana?
L1-0206,0.0,来到,láidào,llegar,V,,Vocabulario General
L1-0207,0.0,老,lǎo,viejo,Adj,,Vocabulario General
L1-0208,0.0,老人,lǎorén,persona mayor,N,,Vocabulario General
L1-0209,0.0,老师,lǎoshī,profesor,N,,Vocabulario General
L1-0210,3.0,了,le,partícula de cambio de estado,Aux,G1.4 (Pronombres Interrogativos),¿Cómo te llamas?
L1-0211,0.0,累,lèi,cansado,Adj,,Vocabulario General
L1-0212,12.0,冷,lěng,frío,Adj,G1.4 (Pronombres Interrogativos),¿Qué tiempo hará mañana?
L1-0213,10.0,里,lǐ,interior,N,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0213,10.0,里,lǐ,interior,N,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0214,0.0,里边,lǐbian,adentro,N,,Vocabulario General
L1-0215,0.0,两,liǎng,dos,Num,,Vocabulario General
L1-0216,0.0,零,líng,cero,Num,,Vocabulario General
L1-0216,0.0,〇,líng,cero,Num,,Vocabulario General
L1-0217,1.1,六,liù,seis,Num,,Hola
L1-0218,0.0,楼,lóu,edificio,N,,Vocabulario General
L1-0219,0.0,楼上,lóu shàng,piso de arriba,,,Vocabulario General
L1-0220,0.0,楼下,lóu xià,piso de abajo,,,Vocabulario General
L1-0221,0.0,路,lù,camino,N/M,,Vocabulario General
L1-0222,0.0,路口,lùkǒu,intersección,N,,Vocabulario General
L1-0223,0.0,路上,lùshang,en el camino,N,,Vocabulario General
L1-0224,2.0,妈妈,māma,mamá,N,,Gracias
L1-0224,0.0,妈,mā,mamá,N,,Vocabulario General
L1-0225,0.0,马路,mǎlù,calle,N,,Vocabulario General
L1-0226,0.0,马上,mǎshàng,inmediatamente,Adv,,Vocabulario General
L1-0227,3.0,吗,ma,partícula interrogativa,Aux,G1.4 (Pronombres Interrogativos),¿Cómo te llamas?
L1-0228,13.0,买,mǎi,comprar,V,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0229,0.0,慢,màn,lento,Adj,,Vocabulario General
L1-0230,0.0,忙,máng,ocupado,Adj,,Vocabulario General
L1-0231,0.0,毛,máo,mao (décima parte de un yuan),M,,Vocabulario General
L1-0232,10.0,没,méi,no,Adv/V,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0233,0.0,没关系,méi guānxi,no importa,,,Vocabulario General
L1-0234,0.0,没什么,méi shénme,no es nada,,,Vocabulario General
L1-0235,0.0,没事儿,méishìr,no pasa nada,,,Vocabulario General
L1-0236,0.0,没有,méiyǒu,no tener,V/Adv,,Vocabulario General
L1-0237,0.0,妹妹,mèimei,hermana menor,N,,Vocabulario General
L1-0237,0.0,妹,mèi,hermana menor,N,,Vocabulario General
L1-0238,3.0,门,mén,puerta,N/M,G1.4 (Pronombres Interrogativos),¿Cómo te llamas?
L1-0239,0.0,门口,ménkǒu,entrada,N,,Vocabulario General
L1-0240,0.0,门票,ménpiào,entrada (boleto),N,,Vocabulario General
L1-0241,0.0,们,men,sufijo plural,Suffix,,Vocabulario General
L1-0241,0.0,朋友们,péngyoumen,amigos (plural),N,,Vocabulario General
L1-0242,8.0,米饭,mǐfàn,arroz (cocido),N,G1.2 (Verbos Modales) | G1.46 (Preguntas con partículas de cantidad/lugar) | G1.8 (Clasificadores Nominales),Quiero beber té
L1-0243,0.0,面包,miànbāo,pan,N,,Vocabulario General
L1-0244,0.0,面条儿,miàntiáor,fideos,N,,Vocabulario General
L1-0245,3.0,名字,míngzi,nombre,N,G1.4 (Pronombres Interrogativos),¿Cómo te llamas?
L1-0246,0.0,明白,míngbai,entender / claro,Adj/V,,Vocabulario General
L1-0247,0.0,明年,míngnián,próximo año,N,,Vocabulario General
L1-0248,7.0,明天,míngtiān,mañana,N,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
L1-0249,0.0,拿,ná,tomar / agarrar,V,,Vocabulario General
L1-0250,0.0,哪,nǎ,cuál / qué,Pron,,Vocabulario General
L1-0251,0.0,哪里,nǎlǐ,dónde,Pron,,Vocabulario General
L1-0251,0.0,哪里,nǎlǐ,dónde,Pron,,Vocabulario General
L1-0252,0.0,哪儿,nǎr,dónde,Pron,,Vocabulario General
L1-0253,0.0,哪些,nǎxiē,cuáles,Pron,,Vocabulario General
L1-0254,0.0,那,nà,ese / aquel,Pron,,Vocabulario General
L1-0255,0.0,那边,nàbiān,allá / ese lado,Pron,,Vocabulario General
L1-0256,0.0,那里,nàlǐ,allí,Pron,,Vocabulario General
L1-0256,0.0,那里,nàlǐ,allí,Pron,,Vocabulario General
L1-0257,0.0,那儿,nàr,allí,Pron,,Vocabulario General
L1-0258,0.0,那些,nàxiē,esos / aquellos,Pron,,Vocabulario General
L1-0259,0.0,奶,nǎi,leche,N,,Vocabulario General
L1-0260,2.0,奶奶,nǎinai,abuela (paterna),N,,Gracias
L1-0261,0.0,男,nán,masculino,Adj,,Vocabulario General
L1-0262,0.0,男孩儿,nánháir,niño,N,,Vocabulario General
L1-0263,0.0,男朋友,nánpéngyou,novio,N,,Vocabulario General
L1-0264,0.0,男人,nánrén,hombre,N,,Vocabulario General
L1-0265,0.0,男生,nánshēng,estudiante masculino,N,,Vocabulario General
L1-0266,0.0,南,nán,sur,N,,Vocabulario General
L1-0267,0.0,南边,nánbian,lado sur,N,,Vocabulario General
L1-0268,0.0,难,nán,difícil,Adj,,Vocabulario General
L1-0269,7.0,呢,ne,partícula de pregunta suave o continuativa,Aux,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
L1-0270,10.0,能,néng,poder (habilidad),V,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0271,1.1,你,nǐ,tú,Pron,,Hola
L1-0272,8.0,你们,nǐmen,ustedes,Pron,G1.2 (Verbos Modales) | G1.46 (Preguntas con partículas de cantidad/lugar) | G1.8 (Clasificadores Nominales),Quiero beber té
L1-0273,15.0,年,nián,año (clasificador),M,G1.36 (Estructura de Énfasis 是...的),Vine en avión
L1-0274,1.1,您,nín,usted (formal),Pron,,Hola
L1-0275,0.0,牛奶,niúnǎi,leche (de vaca),N,,Vocabulario General
L1-0276,0.0,女,nǚ,femenino,Adj,,Vocabulario General
L1-0277,5.0,女儿,nǚ'ér,hija,N,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0278,0.0,女孩儿,nǚháir,niña,N,,Vocabulario General
L1-0279,0.0,女朋友,nǚpéngyou,novia,N,,Vocabulario General
L1-0280,0.0,女人,nǚrén,mujer,N,,Vocabulario General
L1-0281,0.0,女生,nǚshēng,estudiante femenina,N,,Vocabulario General
L1-0282,0.0,旁边,pángbiān,al lado,N,,Vocabulario General
L1-0283,0.0,跑,pǎo,correr,V,,Vocabulario General
L1-0284,4.0,朋友,péngyou,amigo,N,G1.4 (Pronombres Interrogativos) | G1.6 (Pronombres Demostrativos),Ella es mi profesora de chino
L1-0285,0.0,票,piào,boleto / entrada,N,,Vocabulario General
L1-0286,4.0,七,qī,siete,Num,G1.4 (Pronombres Interrogativos) | G1.6 (Pronombres Demostrativos),Ella es mi profesora de chino
L1-0287,0.0,起,qǐ,levantarse / comenzar,V,,Vocabulario General
L1-0288,0.0,起床,qǐchuáng,levantarse de la cama,,,Vocabulario General
L1-0289,0.0,起来,qǐlái,levantarse (verbo compuesto),,,Vocabulario General
L1-0289,0.0,起来,qǐlái,levantarse (verbo compuesto),,,Vocabulario General
L1-0290,0.0,汽车,qìchē,coche,N,,Vocabulario General
L1-0291,11.0,前,qián,antes (de la hora),N,G1.44 (Expresión de Tiempo: Hora),¿Qué hora es ahora?
L1-0292,0.0,前边,qiánbian,delante,N,,Vocabulario General
L1-0293,0.0,前天,qiántiān,anteayer,N,,Vocabulario General
